epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,76.9478,0.79952,1.07089,1.49877,0.05142,0.97526,0.9589,0.9648,0.74758,0.71718,0.56466,1.36529,0.05239,0.000663102,0.000663102,0.000663102
2,165.531,0.60632,0.46222,1.3924,0.04107,0.97594,0.97235,0.96141,0.80076,0.6197,0.4569,1.31683,0.02959,0.0013166,0.0013166,0.0013166
3,265.078,0.58728,0.42855,1.32945,0.04003,0.96951,0.98288,0.97481,0.82759,0.59396,0.46168,1.33178,0.03554,0.00195691,0.00195691,0.00195691
4,373.365,0.55435,0.41557,1.29761,0.03863,0.97518,0.9726,0.97145,0.77964,0.62265,0.45837,1.28144,0.04515,0.0019406,0.0019406,0.0019406
5,473.527,0.55155,0.40055,1.26429,0.0385,0.96313,0.984,0.97089,0.86071,0.55083,0.43393,1.24336,0.03193,0.0019208,0.0019208,0.0019208
6,580.653,0.50227,0.3756,1.23718,0.02931,0.97372,0.96918,0.97283,0.84558,0.54445,0.41582,1.21987,0.02169,0.001901,0.001901,0.001901
7,1479.43,0.50476,0.37392,1.20003,0.02974,0.97492,0.9863,0.97682,0.8104,0.5979,0.42818,1.21732,0.03151,0.0018812,0.0018812,0.0018812
8,1553.48,0.50854,0.36985,1.20397,0.03249,0.96498,0.9863,0.9822,0.86081,0.56558,0.39334,1.20553,0.03031,0.0018614,0.0018614,0.0018614
9,1643.63,0.48573,0.35873,1.20007,0.02883,0.97525,0.96918,0.95548,0.8633,0.51784,0.38019,1.20334,0.02186,0.0018416,0.0018416,0.0018416
10,1740.09,0.48,0.36029,1.18853,0.02575,0.97275,0.97787,0.98899,0.86447,0.53274,0.39596,1.20159,0.02621,0.0018218,0.0018218,0.0018218
11,1831.91,0.47361,0.35337,1.17224,0.02615,0.9726,0.9726,0.96161,0.86569,0.49044,0.37738,1.18842,0.0236,0.001802,0.001802,0.001802
12,1919.93,0.45859,0.33937,1.17541,0.0254,0.97527,0.95205,0.95155,0.86074,0.47805,0.38119,1.20464,0.0278,0.0017822,0.0017822,0.0017822
